Столица Росси;Багдад;Валлетта;Москва;Гавана;3
Столица Греции;Стоггольм;Афины;Анкара;Берлин;2
Столица Германии;Берлин;Стоггольм;Кито;Катманду;1
Столица Сербии;Вена;Гавана;Загреб;Белград;4
Столица Венгрии;Будапешт;Осло;Хельсинки;Анкара;1
Столица Мальты;Вьентьян;Маскат;Валлетта;Москва;3
Столица Австрии;Вена;Ереван;Джакарта;Пекин;1
Столица Хорватии;Багдад;Багота;Загреб;Пекин;3
Столица Испании;Осло;Мадрид;Валлетта;Гавана;2
Столица Норвегии;Москва;Загреб;Париж;Осло ;3
Столица Швеции;Стоггольм;Вена;Белград;Будапешт;1
Столица Франции;Москва;Париж;Анкара;Маскат;2
Столица Финляндии;Джакарта;Оттава;Хельсинки;Бразилиа;3
Столица Турции;Кито;Стоггольм;Розо;Анкара ;4
Столица Ирака;Багдад;Москва;Вьентьян;Ереван;1
Столица Лаоса;Ереван;Вьентьян;Багота;Мадрид;2
Столица Индонезии;Маскат;Катманду;Джакарта;Оттава;3
Столица Армении;Баку;Мадрид;Берлин;Ереван;4
Столица Израиля;Иерусалим;Пхеньян;Осло;Маскат;1
Столица Непала;Багота;Катманду;Вена;Гавана;2
Столица Омана;Кито;Вьентьян;Маскат;Токио;3
Столица Китая;Мадрид;Баку;Вьентьян;Пекин;4
Столица Японии;Токио;Вена;Хиросима;Нагосаки;1
Столица Колумбии;Стоггольм;Багота;Москва;Вьентьян;2
Столица Бразилии;Рио;Мехико;Бразилиа;Будапешт;3
Столица СШФ;Париж;Пхеньян;Нью-Йорк;Вашингтон ;4
Столица Кубы;Гавана;Багота;Вьентьян;Баку;1
Столица Эквадора;Осло;Кито;Пекин;Вена;2
Столица Канады;Париж;Маскат;Оттава;Белград;3
Столица Доминиканы;Вьентьян;Багота;Москва;Розо;4
